signal_date,trade_date,volatility_observations,realized_volatility,volatility_status,volatility_cap,trend_close,trend_average,above_trend,trend_cap,final_equity_exposure,cash_target,executed_equity_exposure,executed_cash_weight
2019-07-31,2019-08-01,0,,insufficient_history,0.0,,,,1.0,0.0,1.0,0.0,1.0
2019-08-30,2019-09-02,22,0.21365719171824893,estimated,0.8424710563329275,,,,1.0,0.8424710563329274,0.1575289436670726,0.8424710563329274,0.1575289436670726
2019-09-30,2019-10-08,42,0.19174076548590854,estimated,0.93876750488528,,,,1.0,0.9387675048852797,0.06123249511472029,0.9363618606852255,0.06363813931477447
2019-10-31,2019-11-01,60,0.17879076270865157,estimated,1.0,3886.75,3717.5310999999997,True,1.0,0.9999999999999999,1.1102230246251565e-16,0.9999999999999999,1.1102230246251565e-16
2019-11-29,2019-12-02,60,0.168181064700552,estimated,1.0,3828.67,3801.01995,True,1.0,1.0,0.0,0.9955228870733943,0.004477112926605686
2019-12-31,2020-01-02,60,0.1753296236388965,estimated,1.0,4096.58,3844.3790499999996,True,1.0,1.0,0.0,1.0,0.0
2020-01-23,2020-02-03,60,0.20586205531003965,estimated,0.8743719172963178,4003.9,3871.777,True,1.0,0.8743719172963179,0.1256280827036821,0.8743719172963179,0.1256280827036821
2020-02-28,2020-03-02,60,0.3182127873977236,estimated,0.5656592290712189,3940.05,3870.2943,True,1.0,0.5656592290712188,0.4343407709287812,0.5656592290712188,0.4343407709287812
2020-03-31,2020-04-01,60,0.4428972549494571,estimated,0.4064148016012007,3686.16,3891.3068999999996,False,0.5,0.40641480160120064,0.5935851983987994,0.40641480160120064,0.5935851983987994
2020-04-30,2020-05-06,60,0.40154864815952335,estimated,0.4482644900562368,3912.58,3894.3242500000006,True,1.0,0.44826449005623675,0.5517355099437633,0.44826449005623675,0.5517355099437633
2020-05-29,2020-06-01,60,0.37556467116982273,estimated,0.479278307619642,3867.02,3902.9512,False,0.5,0.479278307619642,0.5207216923803579,0.479278307619642,0.5207216923803579
2020-06-30,2020-07-01,60,0.22954629388990894,estimated,0.784155548537536,4163.96,3933.9364,True,1.0,0.784155548537536,0.215844451462464,0.784155548537536,0.215844451462464
2020-07-31,2020-08-03,60,0.33191827604271007,estimated,0.5423021659007359,4695.05,4019.5421499999998,True,1.0,0.5423021659007358,0.45769783409926423,0.5423021659007358,0.45769783409926423
2020-08-31,2020-09-01,60,0.33040897541036607,estimated,0.5447793897742669,4816.22,4106.47875,True,1.0,0.5447793897742669,0.4552206102257331,0.5447793897742669,0.4552206102257331
2020-09-30,2020-10-09,60,0.3195495860116104,estimated,0.5632928593231222,4587.4,4191.7751,True,1.0,0.5632928593231222,0.43670714067687777,0.5632928593231222,0.43670714067687777
2020-10-30,2020-11-02,60,0.2493078596879802,estimated,0.7219988981706311,4695.33,4253.927049999999,True,1.0,0.721998898170631,0.278001101829369,0.721998898170631,0.278001101829369
